id,score,metric_name
0_0_3,0.5,total_score
0_1_3,0.6,total_score
0_2_3,1.0,total_score
0_3_3,1.0,total_score
0_4_3,0.5,total_score
0_5_3,1.0,total_score
1_0_3,0.24,total_score
1_1_3,0.6,total_score
1_2_3,0.44000000000000006,total_score
1_3_3,0.44000000000000006,total_score
1_4_3,0.5,total_score
1_5_3,1.0,total_score
2_0_3,1.0,total_score
2_1_3,1.0,total_score
2_2_3,1.0,total_score
2_3_3,1.0,total_score
2_4_3,1.0,total_score
2_5_3,1.0,total_score
3_0_3,1.0,total_score
3_1_3,1.0,total_score
3_2_3,1.0,total_score
3_3_3,1.0,total_score
3_4_3,1.0,total_score
3_5_3,1.0,total_score
4_0_3,1.0,total_score
4_1_3,1.0,total_score
4_2_3,1.0,total_score
4_3_3,1.0,total_score
4_4_3,1.0,total_score
4_5_3,1.0,total_score
5_0_3,0.6,total_score
5_1_3,0.4,total_score
5_2_3,0.4,total_score
5_3_3,0.4,total_score
5_4_3,0.4,total_score
5_5_3,0.4,total_score
6_0_3,1.0,total_score
6_1_3,1.0,total_score
6_2_3,1.0,total_score
6_3_3,1.0,total_score
6_4_3,1.0,total_score
6_5_3,1.0,total_score
7_0_3,1.0,total_score
7_1_3,1.0,total_score
7_2_3,1.0,total_score
7_3_3,1.0,total_score
7_4_3,1.0,total_score
7_5_3,1.0,total_score
8_0_3,1.0,total_score
8_1_3,1.0,total_score
8_2_3,1.0,total_score
8_3_3,1.0,total_score
8_4_3,1.0,total_score
8_5_3,1.0,total_score
9_0_3,1.0,total_score
9_1_3,1.0,total_score
9_2_3,1.0,total_score
9_3_3,1.0,total_score
9_4_3,1.0,total_score
9_5_3,1.0,total_score
10_0_3,1.0,total_score
10_1_3,1.0,total_score
10_2_3,1.0,total_score
10_3_3,1.0,total_score
10_4_3,1.0,total_score
10_5_3,1.0,total_score
0_0_6,0.6,total_score
0_1_6,0.6,total_score
0_2_6,1.0,total_score
0_3_6,0.6,total_score
0_4_6,1.0,total_score
0_5_6,0.5,total_score
1_0_6,0.24,total_score
1_1_6,0.6,total_score
1_2_6,0.5,total_score
1_3_6,0.24,total_score
1_4_6,0.24,total_score
1_5_6,0.24,total_score
2_0_6,1.0,total_score
2_1_6,1.0,total_score
2_2_6,1.0,total_score
2_3_6,1.0,total_score
2_4_6,1.0,total_score
2_5_6,1.0,total_score
3_0_6,1.0,total_score
3_1_6,1.0,total_score
3_2_6,0.4,total_score
3_3_6,1.0,total_score
3_4_6,1.0,total_score
3_5_6,1.0,total_score
4_0_6,1.0,total_score
4_1_6,1.0,total_score
4_2_6,1.0,total_score
4_3_6,1.0,total_score
4_4_6,1.0,total_score
4_5_6,1.0,total_score
5_0_6,0.4,total_score
5_1_6,0.4,total_score
5_2_6,0.4,total_score
5_3_6,0.4,total_score
5_4_6,0.4,total_score
5_5_6,0.4,total_score
6_0_6,1.0,total_score
6_1_6,1.0,total_score
6_2_6,0.4,total_score
6_3_6,1.0,total_score
6_4_6,1.0,total_score
6_5_6,1.0,total_score
7_0_6,1.0,total_score
7_1_6,1.0,total_score
7_2_6,0.4,total_score
7_3_6,0.4,total_score
7_4_6,1.0,total_score
7_5_6,1.0,total_score
8_0_6,1.0,total_score
8_1_6,1.0,total_score
8_2_6,1.0,total_score
8_3_6,1.0,total_score
8_4_6,1.0,total_score
8_5_6,1.0,total_score
9_0_6,1.0,total_score
9_1_6,1.0,total_score
9_2_6,1.0,total_score
9_3_6,1.0,total_score
9_4_6,1.0,total_score
9_5_6,1.0,total_score
10_0_6,1.0,total_score
10_1_6,1.0,total_score
10_2_6,1.0,total_score
10_3_6,1.0,total_score
10_4_6,0.6,total_score
10_5_6,1.0,total_score
0_0_13,0.6,total_score
0_1_13,0.6,total_score
0_2_13,0.5,total_score
0_3_13,0.6,total_score
0_4_13,0.6,total_score
0_5_13,0.5,total_score
1_0_13,0.24,total_score
1_1_13,0.24,total_score
1_2_13,0.5,total_score
1_3_13,0.5,total_score
1_4_13,0.24,total_score
1_5_13,0.24,total_score
2_0_13,1.0,total_score
2_1_13,1.0,total_score
2_2_13,1.0,total_score
2_3_13,1.0,total_score
2_4_13,1.0,total_score
2_5_13,1.0,total_score
3_0_13,0.0,total_score
3_1_13,0.0,total_score
3_2_13,1.0,total_score
3_3_13,1.0,total_score
3_4_13,1.0,total_score
3_5_13,1.0,total_score
4_0_13,1.0,total_score
4_1_13,1.0,total_score
4_2_13,1.0,total_score
4_3_13,1.0,total_score
4_4_13,1.0,total_score
4_5_13,1.0,total_score
5_0_13,0.6,total_score
5_1_13,0.4,total_score
5_2_13,0.4,total_score
5_3_13,0.4,total_score
5_4_13,0.4,total_score
5_5_13,0.4,total_score
6_0_13,1.0,total_score
6_1_13,1.0,total_score
6_2_13,1.0,total_score
6_3_13,1.0,total_score
6_4_13,1.0,total_score
6_5_13,1.0,total_score
7_0_13,1.0,total_score
7_1_13,1.0,total_score
7_2_13,0.4,total_score
7_3_13,1.0,total_score
7_4_13,1.0,total_score
7_5_13,1.0,total_score
8_0_13,1.0,total_score
8_1_13,1.0,total_score
8_2_13,1.0,total_score
8_3_13,1.0,total_score
8_4_13,1.0,total_score
8_5_13,1.0,total_score
9_0_13,1.0,total_score
9_1_13,0.4,total_score
9_2_13,1.0,total_score
9_3_13,1.0,total_score
9_4_13,1.0,total_score
9_5_13,1.0,total_score
10_0_13,1.0,total_score
10_1_13,1.0,total_score
10_2_13,1.0,total_score
10_3_13,1.0,total_score
10_4_13,1.0,total_score
10_5_13,1.0,total_score
0_0_28,0.5,total_score
0_1_28,0.5,total_score
0_2_28,0.6,total_score
0_3_28,1.0,total_score
0_4_28,0.5,total_score
0_5_28,0.6,total_score
1_0_28,0.24,total_score
1_1_28,0.6,total_score
1_2_28,0.5,total_score
1_3_28,0.44000000000000006,total_score
1_4_28,0.5,total_score
1_5_28,0.44000000000000006,total_score
2_0_28,1.0,total_score
2_1_28,1.0,total_score
2_2_28,1.0,total_score
2_3_28,1.0,total_score
2_4_28,1.0,total_score
2_5_28,1.0,total_score
3_0_28,0.4,total_score
3_1_28,1.0,total_score
3_2_28,0.4,total_score
3_3_28,0.4,total_score
3_4_28,1.0,total_score
3_5_28,1.0,total_score
