id,score,metric_name
0,0.0,accuracy
1,1.0,accuracy
2,1.0,accuracy
3,0.0,accuracy
4,0.0,accuracy
5,0.0,accuracy
6,1.0,accuracy
7,1.0,accuracy
8,1.0,accuracy
9,0.0,accuracy
10,0.0,accuracy
11,1.0,accuracy
12,1.0,accuracy
13,1.0,accuracy
14,1.0,accuracy
15,1.0,accuracy
16,0.0,accuracy
17,1.0,accuracy
18,1.0,accuracy
19,1.0,accuracy
20,1.0,accuracy
21,1.0,accuracy
22,0.0,accuracy
23,1.0,accuracy
24,0.0,accuracy
25,1.0,accuracy
26,1.0,accuracy
27,1.0,accuracy
28,1.0,accuracy
29,1.0,accuracy
30,1.0,accuracy
31,0.0,accuracy
32,1.0,accuracy
33,1.0,accuracy
34,1.0,accuracy
35,1.0,accuracy
36,0.0,accuracy
37,1.0,accuracy
38,0.0,accuracy
39,1.0,accuracy
40,1.0,accuracy
41,1.0,accuracy
42,1.0,accuracy
43,1.0,accuracy
44,1.0,accuracy
45,1.0,accuracy
46,1.0,accuracy
47,1.0,accuracy
48,1.0,accuracy
49,0.0,accuracy
50,0.0,accuracy
51,1.0,accuracy
52,1.0,accuracy
53,1.0,accuracy
54,1.0,accuracy
55,1.0,accuracy
56,1.0,accuracy
57,1.0,accuracy
58,1.0,accuracy
59,0.0,accuracy
60,0.0,accuracy
61,0.0,accuracy
62,1.0,accuracy
63,1.0,accuracy
64,1.0,accuracy
65,1.0,accuracy
66,1.0,accuracy
67,1.0,accuracy
68,0.0,accuracy
69,1.0,accuracy
70,0.0,accuracy
71,0.0,accuracy
72,1.0,accuracy
73,0.0,accuracy
74,1.0,accuracy
75,1.0,accuracy
76,0.0,accuracy
77,1.0,accuracy
78,1.0,accuracy
79,0.0,accuracy
80,1.0,accuracy
81,1.0,accuracy
82,0.0,accuracy
83,0.0,accuracy
84,1.0,accuracy
85,1.0,accuracy
86,1.0,accuracy
87,0.0,accuracy
88,1.0,accuracy
89,1.0,accuracy
90,0.0,accuracy
91,1.0,accuracy
92,1.0,accuracy
93,0.0,accuracy
94,1.0,accuracy
95,1.0,accuracy
96,1.0,accuracy
97,1.0,accuracy
98,1.0,accuracy
99,0.0,accuracy
100,1.0,accuracy
101,1.0,accuracy
102,1.0,accuracy
103,1.0,accuracy
104,1.0,accuracy
105,1.0,accuracy
106,1.0,accuracy
107,0.0,accuracy
