id,score,metric_name
0_0_3,1.0,total_score
0_1_3,1.0,total_score
0_2_3,1.0,total_score
0_3_3,1.0,total_score
0_4_3,1.0,total_score
0_5_3,1.0,total_score
1_0_3,1.0,total_score
1_1_3,1.0,total_score
1_2_3,1.0,total_score
1_3_3,1.0,total_score
1_4_3,1.0,total_score
1_5_3,1.0,total_score
2_0_3,1.0,total_score
2_1_3,1.0,total_score
2_2_3,1.0,total_score
2_3_3,1.0,total_score
2_4_3,1.0,total_score
2_5_3,1.0,total_score
3_0_3,1.0,total_score
3_1_3,1.0,total_score
3_2_3,1.0,total_score
3_3_3,1.0,total_score
3_4_3,1.0,total_score
3_5_3,1.0,total_score
4_0_3,1.0,total_score
4_1_3,1.0,total_score
4_2_3,1.0,total_score
4_3_3,1.0,total_score
4_4_3,1.0,total_score
4_5_3,1.0,total_score
0_0_6,1.0,total_score
0_1_6,1.0,total_score
0_2_6,1.0,total_score
0_3_6,1.0,total_score
0_4_6,1.0,total_score
0_5_6,1.0,total_score
1_0_6,1.0,total_score
1_1_6,1.0,total_score
1_2_6,1.0,total_score
1_3_6,1.0,total_score
1_4_6,1.0,total_score
1_5_6,1.0,total_score
2_0_6,1.0,total_score
2_1_6,1.0,total_score
2_2_6,1.0,total_score
2_3_6,1.0,total_score
2_4_6,1.0,total_score
2_5_6,1.0,total_score
3_0_6,1.0,total_score
3_1_6,1.0,total_score
3_2_6,1.0,total_score
3_3_6,1.0,total_score
3_4_6,1.0,total_score
3_5_6,1.0,total_score
4_0_6,1.0,total_score
4_1_6,1.0,total_score
4_2_6,1.0,total_score
4_3_6,1.0,total_score
4_4_6,1.0,total_score
4_5_6,1.0,total_score
0_0_13,1.0,total_score
0_1_13,1.0,total_score
0_2_13,1.0,total_score
0_3_13,1.0,total_score
0_4_13,1.0,total_score
0_5_13,1.0,total_score
1_0_13,1.0,total_score
1_1_13,1.0,total_score
1_2_13,1.0,total_score
1_3_13,1.0,total_score
1_4_13,1.0,total_score
1_5_13,1.0,total_score
2_0_13,1.0,total_score
2_1_13,1.0,total_score
2_2_13,1.0,total_score
2_3_13,1.0,total_score
2_4_13,1.0,total_score
2_5_13,1.0,total_score
3_0_13,1.0,total_score
3_1_13,1.0,total_score
3_2_13,1.0,total_score
3_3_13,1.0,total_score
3_4_13,1.0,total_score
3_5_13,1.0,total_score
4_0_13,1.0,total_score
4_1_13,1.0,total_score
4_2_13,1.0,total_score
4_3_13,1.0,total_score
4_4_13,1.0,total_score
4_5_13,1.0,total_score
0_0_28,1.0,total_score
0_1_28,1.0,total_score
0_2_28,1.0,total_score
0_3_28,1.0,total_score
0_4_28,1.0,total_score
0_5_28,1.0,total_score
1_0_28,1.0,total_score
1_1_28,1.0,total_score
1_2_28,1.0,total_score
1_3_28,1.0,total_score
1_4_28,1.0,total_score
1_5_28,1.0,total_score
2_0_28,1.0,total_score
2_1_28,1.0,total_score
2_2_28,1.0,total_score
2_3_28,1.0,total_score
2_4_28,1.0,total_score
2_5_28,1.0,total_score
3_0_28,1.0,total_score
3_1_28,1.0,total_score
3_2_28,1.0,total_score
3_3_28,1.0,total_score
3_4_28,1.0,total_score
3_5_28,1.0,total_score
4_0_28,1.0,total_score
4_1_28,1.0,total_score
4_2_28,1.0,total_score
4_3_28,1.0,total_score
4_4_28,1.0,total_score
4_5_28,1.0,total_score
0_0_60,0.0,total_score
0_1_60,0.0,total_score
0_2_60,0.0,total_score
0_3_60,0.0,total_score
0_4_60,0.0,total_score
0_5_60,0.0,total_score
1_0_60,0.0,total_score
1_1_60,0.0,total_score
1_2_60,0.0,total_score
1_3_60,0.0,total_score
1_4_60,0.0,total_score
1_5_60,0.0,total_score
2_0_60,0.0,total_score
2_1_60,0.5,total_score
2_2_60,0.0,total_score
2_3_60,0.0,total_score
2_4_60,0.0,total_score
2_5_60,0.0,total_score
3_0_60,0.0,total_score
3_1_60,0.0,total_score
3_2_60,0.0,total_score
3_3_60,0.0,total_score
3_4_60,0.0,total_score
3_5_60,0.75,total_score
4_0_60,0.0,total_score
4_1_60,0.0,total_score
4_2_60,0.0,total_score
4_3_60,0.0,total_score
4_4_60,0.0,total_score
4_5_60,0.0,total_score
0_0_120,0.0,total_score
0_1_120,0.0,total_score
0_2_120,0.0,total_score
0_3_120,0.0,total_score
0_4_120,0.0,total_score
0_5_120,0.0,total_score
1_0_120,0.0,total_score
1_1_120,0.0,total_score
1_2_120,0.0,total_score
1_3_120,0.0,total_score
1_4_120,0.0,total_score
1_5_120,0.0,total_score
2_0_120,0.0,total_score
2_1_120,0.0,total_score
2_2_120,0.0,total_score
2_3_120,0.0,total_score
2_4_120,0.0,total_score
2_5_120,0.0,total_score
3_0_120,0.0,total_score
3_1_120,0.0,total_score
3_2_120,0.0,total_score
3_3_120,0.0,total_score
3_4_120,0.5,total_score
3_5_120,0.0,total_score
4_0_120,0.0,total_score
4_1_120,0.0,total_score
4_2_120,0.0,total_score
4_3_120,0.25,total_score
4_4_120,0.0,total_score
4_5_120,0.0,total_score
